Treatments,Time,parc+_OD,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100
parc+_7,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_7,3,0.24476966666666700,0.14588048,0.1508459,0.16062684,0.15238439,0.15379372,0.16313861,0.15930527,0.1457077,0.16067578,0.1559833,0.15734851,0.15440722,0.15400001,0.15994538,0.15382095,0.1536669,0.1516809,0.14648558,0.1415003,0.16279826,0.1613319,0.14862582,0.15291291,0.16320167,0.15008305,0.16293621,0.15375374,0.14949201,0.15739073,0.16322564,0.16462332,0.15870212,0.1651265,0.146768,0.15553008,0.15821736,0.15600237,0.15646061,0.14850684,0.15565321,0.150692,0.16138454,0.14132813,0.1493133,0.14858437,0.16522501,0.14889432,0.15042415,0.15251003,0.15254539,0.15840805,0.15435393,0.15196416,0.160382,0.15941261,0.15295072,0.15773185,0.15033521,0.17367487,0.15340441,0.14983898,0.1543553,0.14957133,0.16323508,0.15149333,0.16782731,0.15512072,0.15653206,0.1519795,0.15088333,0.15400144,0.1517719,0.14791636,0.16446309,0.14596151,0.15351161,0.15291345,0.158162,0.16201314,0.14839529,0.15533167,0.15409453,0.1414164,0.15282594,0.15894361,0.15526843,0.14887841,0.15660147,0.15328804,0.13371031,0.15712483,0.14879219,0.15151139,0.14942129,0.16162506,0.15496787,0.1557585,0.15089852,0.15082778,0.160523
parc+_7,6,0.9902583333333330,1.4831091,1.561471,1.725401,1.5901766,1.6074617,1.7408705,1.6194547,1.4966521,1.6814004,1.6565999,1.7286811,1.6019527,1.6219194,1.6956878,1.6356162,1.6091329,1.6000401,1.5275346,1.4444919,1.7433027,1.7400033,1.5550206,1.5896767,1.6997716,1.5954965,1.7086883,1.6070551,1.5507516,1.6793538,1.7443403,1.7751582,1.7234869,1.7797039,1.5333155,1.6247952,1.6595496,1.6450797,1.6447793,1.5330517,1.664421,1.57629,1.7398653,1.422857,1.5627463,1.5565914,1.7541033,1.5612466,1.5102164,1.5937996,1.6531426,1.6928949,1.6259291,1.5756521,1.7325355,1.7116886,1.6066748,1.692901,1.604491,1.8660187,1.6660433,1.5182284,1.6354498,1.5420945,1.7732941,1.571404,1.7845452,1.6404614,1.6771431,1.6338379,1.5665689,1.6070565,1.5857184,1.5249892,1.8012083,1.513739,1.5837513,1.6189979,1.7246135,1.7428565,1.5687195,1.639191,1.6141081,1.4075339,1.5927856,1.6588775,1.6250378,1.545355,1.6282854,1.6106712,1.3339777,1.6481726,1.5121598,1.5842366,1.5235705,1.7094735,1.6190959,1.6832724,1.5791237,1.5928184,1.7367585
parc+_7,9,2.126059,3.7755,3.889553,4.151969,3.9523962,3.9498937,4.059734,3.605439,3.884858,3.8834546,4.0926294,4.4908404,3.8660445,4.031405,4.018607,4.1400023,3.9666216,4.0816016,4.0576262,3.9069426,4.0976744,4.197443,4.0502267,3.9021206,3.8131118,4.2217607,3.8820803,3.9578824,3.9406345,4.13239,4.0732403,4.151272,4.318828,4.1373005,4.0740037,3.9257872,3.9278364,4.0136733,3.9875567,3.9044576,4.184079,4.0067267,4.1889415,3.7482293,4.033775,4.058753,3.990697,4.074705,3.5785558,3.970146,4.4079447,4.12754,4.032917,3.8930461,4.2275786,4.1777496,4.0179935,4.192388,4.237007,4.043985,4.405709,3.6840503,4.107202,3.8661797,4.258951,3.8998482,3.985355,4.0527043,4.194456,4.318008,3.9169493,3.9244304,3.974797,3.9032288,4.329321,3.996756,3.8183463,4.102184,4.3759713,4.168087,4.1854563,4.0298123,3.9729352,3.6185443,3.9391909,3.869275,3.9423892,3.950403,3.853313,4.0177536,3.8378716,3.951873,3.7209675,3.9979281,3.7490242,3.9687934,3.9263532,4.30625,4.0111136,4.1136594,4.24058
parc+_7,24,5.3073820000000000,4.2304163,4.3202214,4.54633,4.3803115,4.3651624,4.421641,3.8990676,4.3626647,4.2298183,4.5171213,5.00613,4.259809,4.463625,4.3920183,4.5972166,4.382174,4.5442557,4.5851398,4.4499044,4.4678655,4.6022716,4.5461707,4.31326,4.1270123,4.7539916,4.210286,4.3822365,4.4033422,4.5602956,4.4363456,4.5165963,4.7762456,4.4933677,4.602534,4.3243327,4.2983856,4.4208484,4.3983917,4.3702745,4.6406074,4.465032,4.58916,4.24384,4.5102334,4.5504913,4.3278046,4.577713,3.936548,4.4052887,4.9529877,4.537934,4.4670887,4.3155775,4.646142,4.599268,4.4568496,4.628923,4.744283,4.3328476,4.9307384,4.078796,4.567551,4.3035502,4.6638427,4.324278,4.303638,4.4739804,4.645362,4.847618,4.349001,4.3280187,4.4148965,4.378894,4.732188,4.5074716,4.2086573,4.556189,4.8505144,4.5682316,4.72626,4.4460588,4.3938127,4.072094,4.3670297,4.2219696,4.341297,4.414807,4.218805,4.4549975,4.491857,4.344947,4.126604,4.455616,4.1586685,4.3145585,4.3225894,4.788024,4.4720497,4.5971394,4.657549
parc+_8,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
parc+_8,3,0.15621433333333300,0.07645098,0.12441597,0.074844226,0.09040887,0.083811685,0.09041379,0.07081023,0.09107542,0.07702622,0.10751107,0.09663391,0.09995693,0.082801245,0.084946565,0.08924399,0.12656535,0.07857116,0.097161576,0.10631682,0.08034753,0.0768586,0.10804476,0.07501499,0.08431687,0.08940358,0.10053439,0.089995526,0.09579803,0.09001065,0.09670467,0.0806689,0.061191086,0.083505,0.063056506,0.078540996,0.08245361,0.07534117,0.097696185,0.07329895,0.0901466,0.10240212,0.0977196,0.090017736,0.080558665,0.08695345,0.09439074,0.09316122,0.075200856,0.088692494,0.078408435,0.08420627,0.077168636,0.11700152,0.07949651,0.064324096,0.069132224,0.113980435,0.085087635,0.06253051,0.108710214,0.1145849,0.073737755,0.08027123,0.08753082,0.0919763,0.098296896,0.08565205,0.08378835,0.077632666,0.07370593,0.09489863,0.08026704,0.08427214,0.1096405,0.091062,0.11387821,0.09170152,0.1564162,0.1067205,0.100829646,0.086335026,0.063987084,0.0999945,0.07907476,0.08676402,0.0831159,0.085133456,0.09212132,0.11046538,0.078376316,0.110443205,0.079743445,0.0825977,0.09262961,0.094102174,0.07446499,0.070507996,0.09214959,0.08268233,0.091955446
parc+_8,6,1.0823113333333300,0.50857234,1.0293897,0.48690245,0.6709772,0.5864273,0.67946255,0.43477297,0.6898372,0.5107975,0.88802224,0.7454074,0.7633449,0.57357013,0.6196534,0.6773918,1.1337982,0.51801467,0.74810797,0.85883033,0.54965043,0.5083407,0.87918943,0.48160392,0.6036557,0.67132,0.80047524,0.67418075,0.7464907,0.68117523,0.75561213,0.5550522,0.33697018,0.57560533,0.35929686,0.5384716,0.5810458,0.4928271,0.7403815,0.47278774,0.67626363,0.81242234,0.7532365,0.67484605,0.5601786,0.63578963,0.7010884,0.7156002,0.49212313,0.6393224,0.5296455,0.5868278,0.5067903,1.0267359,0.546438,0.37591952,0.4317373,0.9290378,0.61492103,0.3466632,0.89902115,1.0089424,0.48460263,0.53339183,0.6560035,0.6874905,0.740417,0.60421634,0.58348894,0.5155667,0.467424,0.7064413,0.5611981,0.61286885,0.9213911,0.6786712,1.0401466,0.6908802,1.4807137,0.86664116,0.8003635,0.62550455,0.3707794,0.80581,0.533762,0.6367375,0.6019801,0.60342014,0.7118907,0.92123955,0.5198493,0.9061744,0.5540125,0.59348994,0.6783352,0.7164658,0.49164698,0.4352296,0.69994867,0.5654541,0.67572224
parc+_8,9,2.301739,1.8401114,2.343251,1.7333355,2.1756542,1.935494,2.2865126,1.4895633,2.3356657,1.7865134,2.5820029,2.2970746,2.1350317,1.8967302,2.2578454,2.4438055,2.8944767,1.686102,2.2686732,2.4296343,1.8942538,1.774705,2.4453733,1.6304312,2.1115499,2.3270879,2.4508212,2.2823,2.413438,2.3772671,2.410203,1.9255234,1.2072238,1.8359095,1.3339736,1.9977121,2.0544078,1.7552254,2.1294074,1.7392768,2.2804785,2.3669064,2.2608464,2.285968,2.02642,2.181813,2.061362,2.3845584,1.7655276,2.003565,1.8763605,1.8927293,1.7116791,2.8982582,1.973487,1.4442477,1.6974773,2.3565807,2.1626582,1.193953,2.5599372,2.9913776,1.8803424,1.6842083,2.403476,2.1837234,2.0725648,1.9354613,1.9023287,1.7722535,1.5937098,2.0636134,2.0918818,2.265367,2.6829755,2.192977,3.4638505,2.2670653,3.0855243,2.45758,2.4165418,2.133483,1.4013246,2.5839756,1.8437369,2.226877,2.2870867,1.9897026,2.4937193,2.5942397,1.7350593,2.46046,2.056907,2.231177,2.0067244,2.268633,1.8789227,1.5395114,2.3221467,1.8051326,2.0481544
parc+_8,24,4.6607830000000000,3.0569587,2.6353183,2.8536928,3.002827,2.8006442,3.2216668,2.4640412,3.3074975,2.8374176,3.2203462,3.0215504,2.6656888,2.7803667,3.501877,3.6450639,3.3427556,2.5072105,2.9665167,3.0270796,2.9117105,2.8343356,3.000299,2.5737872,3.2007966,3.3866258,3.168733,3.2846398,3.250505,3.4717066,3.2328,2.9458401,2.4112833,2.6168427,2.7412856,3.3129659,3.1799755,2.8972225,2.7059674,3.022963,3.2158458,2.9793706,2.9339023,3.2764552,3.26021,3.1762369,2.6655972,3.3221304,2.9442549,2.761874,3.0072458,2.705635,2.6751685,3.5077622,3.1772668,3.0567026,3.4125142,2.7750175,3.2809522,2.2337615,3.1512256,3.689089,3.5176375,2.4251103,3.7030532,2.9737206,2.5974827,2.7302244,2.747728,2.7597299,2.5408494,2.651951,3.4563146,3.5906355,3.3368096,3.0379252,4.540453,3.1781676,3.3397224,3.042893,3.1089478,3.162507,2.9066975,3.429969,2.8962114,3.305885,3.738885,2.8605344,3.6217425,3.1782382,2.6324666,2.9737496,3.3723521,3.5986001,2.6296809,3.058323,3.3886669,2.6716812,3.2620163,2.5795276,2.7149444
